phoneme,name,county,latitude,longitude
2533,Kailua,Honolulu County,21.402,-157.739
2533,Kailua,Hawaii County,19.639,-155.990
5183,Waimea,Hawaii County,20.023,-155.672
3401,Mountain View,Hawaii County,19.553,-155.104
2572,Keokea,Maui County,20.705,-156.357
4054,Princeville,Kauai County,22.218,-159.479
5183,Waimea,Kauai County,21.957,-159.669
3664,Olinda,Maui County,20.827,-156.289
5167,Volcano,Hawaii County,19.428,-155.235
2131,Hana,Maui County,20.774,-156.014
4497,Seaview,Hawaii County,19.408,-154.924
2572,Keokea,Hawaii County,19.419,-155.883
